starttime	seconds	ctime	dtime	ttime	wait
Mon Sep 17 09:31:47 2018	1537169507	907	733	1641	726
Mon Sep 17 09:35:24 2018	1537169724	849	793	1641	765
Mon Sep 17 09:31:37 2018	1537169497	654	988	1642	988
Mon Sep 17 09:35:24 2018	1537169724	772	870	1642	843
Mon Sep 17 09:35:24 2018	1537169724	850	793	1642	765
Mon Sep 17 09:31:06 2018	1537169466	1564	79	1643	66
Mon Sep 17 09:34:58 2018	1537169698	601	1042	1643	1042
Mon Sep 17 09:34:01 2018	1537169641	381	1262	1643	1262
Mon Sep 17 09:34:01 2018	1537169641	379	1264	1644	1264
Mon Sep 17 09:34:01 2018	1537169641	379	1265	1644	1264
Mon Sep 17 09:34:01 2018	1537169641	377	1267	1644	1266
Mon Sep 17 09:33:39 2018	1537169619	1475	170	1645	170
Mon Sep 17 09:34:04 2018	1537169644	1087	558	1645	557
Mon Sep 17 09:33:37 2018	1537169617	394	1251	1645	1249
Mon Sep 17 09:34:04 2018	1537169644	1036	609	1645	607
Mon Sep 17 09:32:54 2018	1537169574	1503	142	1646	142
Mon Sep 17 09:34:55 2018	1537169695	472	1174	1646	1174
Mon Sep 17 09:34:55 2018	1537169695	504	1142	1647	1142
Mon Sep 17 09:34:04 2018	1537169644	1171	476	1647	473
Mon Sep 17 09:34:55 2018	1537169695	472	1175	1647	1174
Mon Sep 17 09:34:55 2018	1537169695	491	1156	1647	1155
Mon Sep 17 09:34:04 2018	1537169644	1077	570	1647	568
Mon Sep 17 09:33:05 2018	1537169585	1158	489	1647	478
Mon Sep 17 09:32:42 2018	1537169562	1533	115	1647	113
Mon Sep 17 09:36:08 2018	1537169768	662	985	1647	983
Mon Sep 17 09:34:04 2018	1537169644	1068	580	1647	577
Mon Sep 17 09:34:04 2018	1537169644	1065	583	1648	581
Mon Sep 17 09:34:10 2018	1537169650	1268	379	1648	378
Mon Sep 17 09:34:04 2018	1537169644	1065	583	1648	581
Mon Sep 17 09:32:45 2018	1537169565	1257	391	1649	391
Mon Sep 17 09:35:19 2018	1537169719	854	796	1651	795
Mon Sep 17 09:34:47 2018	1537169687	1427	224	1651	224
Mon Sep 17 09:34:49 2018	1537169689	1596	55	1651	55
Mon Sep 17 09:35:19 2018	1537169719	843	808	1651	807
Mon Sep 17 09:33:35 2018	1537169615	533	1119	1652	1118
Mon Sep 17 09:34:10 2018	1537169650	1450	203	1653	201
Mon Sep 17 09:33:35 2018	1537169615	534	1119	1653	1118
Mon Sep 17 09:32:47 2018	1537169567	765	889	1654	867
Mon Sep 17 09:33:00 2018	1537169580	797	857	1654	834
Mon Sep 17 09:32:32 2018	1537169552	1424	232	1655	231
Mon Sep 17 09:35:59 2018	1537169759	1152	504	1656	502
Mon Sep 17 09:34:10 2018	1537169650	1380	277	1657	150
Mon Sep 17 09:34:47 2018	1537169687	1456	201	1657	194
Mon Sep 17 09:35:57 2018	1537169757	1454	203	1657	202
Mon Sep 17 09:35:02 2018	1537169702	785	873	1658	872
Mon Sep 17 09:34:10 2018	1537169650	1369	289	1658	288
Mon Sep 17 09:34:10 2018	1537169650	1369	290	1658	288
Mon Sep 17 09:32:42 2018	1537169562	1546	112	1658	112
Mon Sep 17 09:35:02 2018	1537169702	831	828	1658	827
Mon Sep 17 09:34:10 2018	1537169650	1369	289	1658	288
Mon Sep 17 09:31:25 2018	1537169485	1173	486	1659	486
Mon Sep 17 09:31:06 2018	1537169466	1564	95	1659	73
Mon Sep 17 09:34:27 2018	1537169667	1590	69	1659	69
Mon Sep 17 09:35:02 2018	1537169702	861	798	1659	798
Mon Sep 17 09:35:02 2018	1537169702	861	799	1659	798
Mon Sep 17 09:35:02 2018	1537169702	848	812	1659	811
Mon Sep 17 09:35:02 2018	1537169702	864	796	1660	795
Mon Sep 17 09:31:57 2018	1537169517	1077	582	1660	581
Mon Sep 17 09:31:57 2018	1537169517	1061	598	1660	597
Mon Sep 17 09:35:02 2018	1537169702	861	799	1660	798
Mon Sep 17 09:35:30 2018	1537169730	1563	97	1660	96
Mon Sep 17 09:33:08 2018	1537169588	866	795	1660	794
Mon Sep 17 09:35:40 2018	1537169740	1325	335	1660	334
Mon Sep 17 09:33:08 2018	1537169588	866	795	1661	794
Mon Sep 17 09:36:06 2018	1537169766	779	882	1661	882
Mon Sep 17 09:31:06 2018	1537169466	1564	97	1661	97
Mon Sep 17 09:34:27 2018	1537169667	1590	71	1662	71
Mon Sep 17 09:35:30 2018	1537169730	1563	98	1662	98
Mon Sep 17 09:34:57 2018	1537169697	524	1138	1662	1125
Mon Sep 17 09:34:27 2018	1537169667	1590	72	1662	72
Mon Sep 17 09:34:49 2018	1537169689	1609	53	1662	53
Mon Sep 17 09:31:06 2018	1537169466	1587	76	1662	75
