starttime	seconds	ctime	dtime	ttime	wait
Mon Sep 17 09:33:39 2018	1537169619	1517	187	1704	186
Mon Sep 17 09:35:42 2018	1537169742	935	769	1704	769
Mon Sep 17 09:35:29 2018	1537169729	1101	603	1704	601
Mon Sep 17 09:35:12 2018	1537169712	1589	115	1704	115
Mon Sep 17 09:35:29 2018	1537169729	1101	604	1705	602
Mon Sep 17 09:35:42 2018	1537169742	947	757	1705	757
Mon Sep 17 09:35:42 2018	1537169742	935	770	1705	769
Mon Sep 17 09:31:35 2018	1537169495	1070	635	1705	635
Mon Sep 17 09:32:57 2018	1537169577	1511	194	1705	194
Mon Sep 17 09:33:39 2018	1537169619	1517	189	1706	179
Mon Sep 17 09:33:36 2018	1537169616	1116	590	1706	589
Mon Sep 17 09:34:09 2018	1537169649	1555	152	1706	93
Mon Sep 17 09:35:42 2018	1537169742	948	759	1706	758
Mon Sep 17 09:35:49 2018	1537169749	612	1094	1707	1076
Mon Sep 17 09:35:49 2018	1537169749	645	1062	1707	1047
Mon Sep 17 09:33:36 2018	1537169616	1105	602	1707	600
Mon Sep 17 09:35:49 2018	1537169749	610	1097	1707	1083
Mon Sep 17 09:32:31 2018	1537169551	1473	233	1707	232
Mon Sep 17 09:35:49 2018	1537169749	631	1076	1707	1061
Mon Sep 17 09:35:49 2018	1537169749	645	1063	1707	1048
Mon Sep 17 09:35:49 2018	1537169749	631	1076	1707	1061
Mon Sep 17 09:34:01 2018	1537169641	655	1053	1707	1052
Mon Sep 17 09:33:31 2018	1537169611	1607	101	1708	101
Mon Sep 17 09:33:31 2018	1537169611	1601	107	1708	107
Mon Sep 17 09:33:21 2018	1537169601	1186	523	1709	446
Mon Sep 17 09:33:04 2018	1537169584	991	718	1709	716
